Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Knorr Mitten Shiro / 200g,Al Beritlom Trading PLC,174110011,75,ETB73.00,ETB64.00,0,https://helloomarket.com/image/cache/catalog/747%20(5)-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5641
KT_ Fresh ARABICA Grinded  Coffee,KT,103015,98,,ETB483.00,0,https://helloomarket.com/image/cache/catalog/103015-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2135
Lielt_ Black Cardamom(50g),LIELT WORKALEM,152010002,44,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/152010002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5009
Lielt_ Black Cumin Spice(50g),LIELT WORKALEM,152010005,49,ETB71.00,ETB62.00,0,https://helloomarket.com/image/cache/catalog/152010005-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5011
Lielt_ Black Pepper,LIELT WORKALEM,152010004,45,ETB85.00,ETB74.00,0,https://helloomarket.com/image/cache/catalog/152010004-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5013
Lielt_ Butter Seasoning Spice,LIELT WORKALEM,152010003,50,ETB71.00,ETB62.00,0,https://helloomarket.com/image/cache/catalog/152010003-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5010
Lielt_ Spice Blend 60g (Mekelesha),LIELT WORKALEM,152010001,47,ETB85.00,ETB74.00,0,https://helloomarket.com/image/cache/catalog/152010001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5008
Mahider_ Homemade Cookies (0.45kg),,133410001,48,ETB128.00,ETB112.00,0,https://helloomarket.com/image/cache/catalog/133410001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4868
Malalia Organic Moringa Powder (250g),Tesfaye Tadese,116110001,80,ETB50.00,ETB44.00,0,https://helloomarket.com/image/cache/catalog/116110001-02-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3551
MARKAL PURE Fenugreek powder,Elsabeth Mesfin,100706,2,ETB128.00,ETB111.00,0,https://helloomarket.com/image/cache/catalog/markk-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2201
Markal_ Organic Coriander Powder ( 50g),Elsabeth Mesfin,100694,29,ETB21.00,ETB18.00,0,https://helloomarket.com/image/cache/catalog/100694-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2244
Markal_cumin,,100700,8,ETB31.00,ETB31.00,0,https://helloomarket.com/image/cache/catalog/100700-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1798
Masha _100% Pure Red Honey( 3kg),BELEW  ZELEKE,116810004,98,"ETB1,665.00","ETB1,448.00",0,https://helloomarket.com/image/cache/catalog/116810004-004-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3668
Masha _100%Pure Red Honey (2kg),BELEW  ZELEKE,116810003,95,"ETB1,110.00",ETB966.00,0,https://helloomarket.com/image/cache/catalog/1168-03-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3669
Masha _Natural Pure Red Honey (0.5kg),BELEW  ZELEKE,116810001,64,ETB347.00,ETB347.00,0,https://helloomarket.com/image/cache/catalog/116710001-01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3673
Masha _Natural Pure Red Honey (1kg),BELEW  ZELEKE,116810002,69,ETB694.00,ETB694.00,0,https://helloomarket.com/image/cache/catalog/116810002-01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3671
Meazan _Cardamom,,1025-10002,11,ETB27.00,ETB24.00,0,https://helloomarket.com/image/cache/catalog/1025-10002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2835
Mehari _Flax Seed (500g),MEHARI SEMAW,124310003,9,ETB105.00,ETB92.00,0,https://helloomarket.com/image/cache/catalog/124310003-02-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4337
Mekdes _Pumpkin Seeds,MEKDES WUBNEH,119210008,89,ETB14.00,ETB13.00,0,https://helloomarket.com/image/cache/catalog/119210008-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3897
